"","spnum","preyvul","predvul","nll","dnll","nll_groupB","dnll_groupB","convergence","Vprey","Vpred"
"transient_killer_whales",1,0,4,35619.2170552195,-0.432276988467493,56.9167488569844,0.0558258454756597,"TRUE",2,55.5981500331442
"resident_killer_whales",2,0,4,35618.2475256967,-1.40180651126866,44.1790881784733,-1.05719617428485,"TRUE",2,55.5981500331442
"offshore_killer_whales",3,0,4,35619.3933432445,-0.255988963413984,NA,NA,"TRUE",2,55.5981500331442
"other_toothed_whales",4,0,-4,35590.2798441952,-29.3694880126932,NA,NA,"TRUE",2,1.01831563888873
"humpback_whale",5,-4,4,35619.5695997754,-0.0797324324885267,12.4328510908649,0.0152459644795471,"TRUE",1.01831563888873,55.5981500331442
"other_baleen_whales",6,-3.72941195051174,4,35619.4743558141,-0.174976393835095,4.88651309795738,0.00254236128585639,"TRUE",1.02400694896075,55.5981500331442
"dolphins_porpoises",7,-4,-4,35619.5999081654,-0.0494240425687167,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"northern_elephant_seal",8,-4,4,35613.871605152,-5.77772705590178,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"northern_fur_seal_adult",9,-3.37487181252867,-4,35619.4948576405,-0.154474567410944,NA,NA,"TRUE",1.03422250492687,1.01831563888873
"northern_fur_seal_juvenile",10,-0.751073318435882,-4,35619.5596159579,-0.0897162500259583,NA,NA,"TRUE",1.47185982500022,1.01831563888873
"steller_sea_lion",11,4,-4,35562.1359755381,-57.5133566697914,22.3734131283498,-1.06466200522855,"TRUE",55.5981500331442,1.01831563888873
"harbor_seal",12,-4,-4,35604.9600641873,-14.6892680206583,11.1910776029493,0.766983204820956,"TRUE",1.01831563888873,1.01831563888873
"sea_otter",13,4,4,35619.6233639035,-0.0259683044641861,NA,NA,"TRUE",55.5981500331442,55.5981500331442
"piscivorous_surface_birds",14,-4,4,35619.4502682385,-0.199063969397685,7.52376108241757,-0.0235005377187179,"TRUE",1.01831563888873,55.5981500331442
"planktivorous_surface_birds",15,-3.1217496143654e-05,0.00396624091081321,35619.6493164658,-1.57421673065983e-05,NA,NA,"TRUE",1.99996878299112,2.00397411685348
"piscivorous_diving_birds",16,-4,4,35619.2294167396,-0.419915468373802,26.1601283661277,-0.0231795329852069,"TRUE",1.01831563888873,55.5981500331442
"planktivorous_diving_birds",17,-0.000416323018725961,0.00278072911896743,35619.6493242984,-7.90956983109936e-06,7.82087431394766,0.00033571025949275,"TRUE",1.99958376363168,2.00278459893232
"salmon_returning",18,-4,4,33627.0416729571,-1992.60765925085,176.73986271447,-615.136483020718,"TRUE",1.01831563888873,55.5981500331442
"salmon_outgoing",19,4,-4,35619.2725620007,-0.376770207200025,15.6695068585706,0.000125207576568087,"TRUE",55.5981500331442,1.01831563888873
"pacific_hake",20,-4,-4,35618.5149402892,-1.13439191871294,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"pacific_herring_adult",21,-4,4,35107.4748671967,-512.174465011187,1469.21918724914,-146.850644908266,"TRUE",1.01831563888873,55.5981500331442
"pacific_herring_juvenile",22,-4,4,35025.9191948723,-593.730137335675,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"pacific_sandlance",23,-4,-4,31554.6025899106,-4065.04674229729,215.2630338716,0.0819567707940223,"TRUE",1.01831563888873,1.01831563888873
"pacific_capelin",24,4,4,35341.87642291,-277.772909297972,113.00315866431,5.23873674471056,"TRUE",55.5981500331442,55.5981500331442
"shelf_forage_fish",25,-4,4,33938.5453532938,-1681.10397891417,124.220908972704,1.48221528730959,"TRUE",1.01831563888873,55.5981500331442
"slope_forage_fish",26,4,-4,35617.8522550997,-1.79707710821094,1354.88684705043,-1.81793721255144,"TRUE",55.5981500331442,1.01831563888873
"pacific_dogfish",27,-4,-0.611098341405616,35616.4911413397,-3.15819086824922,71.8871645137841,-14.5013855664687,"TRUE",1.01831563888873,1.54275441193397
"salmon_shark",28,0,4,35525.1750486598,-94.4742835481375,NA,NA,"TRUE",2,55.5981500331442
"pacific_sleeper_shark",29,4,4,35615.2123278603,-4.43700434767379,417.894158429051,-1.88575174719711,"TRUE",55.5981500331442,55.5981500331442
"big_skate",30,-4,-4,35521.0949875441,-98.5543446637821,343.722581613687,-105.339261918983,"TRUE",1.01831563888873,1.01831563888873
"longnose_skate",31,-4,-4,35602.7514820667,-16.8978501411984,538.189585678357,-81.4569524547777,"TRUE",1.01831563888873,1.01831563888873
"other_skates",32,-4,-4,27244.6393996028,-8375.00993260515,340.97684919271,-3538.82635910475,"TRUE",1.01831563888873,1.01831563888873
"pacific_halibut_adult",33,4,4,32742.9105516297,-2876.73878057825,97.5776966340042,18.1332477978787,"TRUE",55.5981500331442,55.5981500331442
"pacific_halibut_juvenile",34,4,-4,35549.4202089172,-70.2291232906937,166.42391405468,-5.76142290942175,"TRUE",55.5981500331442,1.01831563888873
"arrowtooth_flounder_adult",35,-4,4,33127.7829368319,-2491.86639537605,86.0005565430231,-2.59352681632832,"TRUE",1.01831563888873,55.5981500331442
"arrowtooth_flounder_juvenile",36,4,-4,35111.8045387464,-507.844793461503,774.766896909571,24.719560221092,"TRUE",55.5981500331442,1.01831563888873
"rex_sole_adult",37,4,-4,35509.4363969416,-110.212935266281,19.7634714900748,-40.0556922456507,"TRUE",55.5981500331442,1.01831563888873
"rex_sole_juvenile",38,-4,-4,35581.0793844628,-38.5699477451344,1024.52425594513,-41.2105481475319,"TRUE",1.01831563888873,1.01831563888873
"flathead_sole_adult",39,-4,1.4593062351284,35542.8884545263,-76.7608776816705,3.02391567668579,6.52615173617815,"TRUE",1.01831563888873,5.30297324089637
"flathead_sole_juvenile",40,-3.9663212612178,-4,35609.1001867342,-10.5491454737639,56.0940210229149,-26.3226059095233,"TRUE",1.01894299143053,1.01831563888873
"shallow_water_flatfish",41,-4,-4,35422.4290170753,-197.220315132676,43.0158795923513,-1.10375223523901,"TRUE",1.01831563888873,1.01831563888873
"deep_water_flatfish",42,4,-4,35320.6847313417,-298.96460086626,1020.52497941012,-299.841364527272,"TRUE",55.5981500331442,1.01831563888873
"pacific_ocean_perch_adult",43,4,-4,35392.1014396751,-227.547892532799,1105.64318026445,-236.612966280177,"TRUE",55.5981500331442,1.01831563888873
"pacific_ocean_perch_juvenile",44,-4,-4,35607.7255849437,-11.9237472642053,74.6627880361574,-9.20632310129226,"TRUE",1.01831563888873,1.01831563888873
"slope_rockfish",45,-4,-4,35579.0643193272,-40.5850128807069,10.7541024693998,-0.0502559832553526,"TRUE",1.01831563888873,1.01831563888873
"demersal_shelf_rockfish",46,-4,4,35589.7037454903,-29.9455867176584,10.7507077245847,-2.86631615690176,"TRUE",1.01831563888873,55.5981500331442
"pelagic_shelf_rockfish",47,-4,-4,35560.5807598194,-59.0685723885108,122.955537997426,-57.7776478266052,"TRUE",1.01831563888873,1.01831563888873
"thornyheads",48,1.01362256958399,-4,35544.8825838571,-74.766748350783,3465.15929398495,109.160138503198,"TRUE",3.7555651827926,1.01831563888873
"sablefish_adult",49,4,-4,35098.8203629974,-520.828969210561,74.4951849629728,-14.3032243537797,"TRUE",55.5981500331442,1.01831563888873
"sablefish_juvenile",50,4,-4,35614.1582366728,-5.4910955351661,1763.96863613918,-4.27558889803572,"TRUE",55.5981500331442,1.01831563888873
"pacific_cod_adult",51,-4,-4,32953.7284113396,-2665.92092086829,101.914143775718,-64.9742049601149,"TRUE",1.01831563888873,1.01831563888873
"pacific_cod_juvenile",52,4,-4,35510.5810676254,-109.068264582565,46.7430922252188,2.39579217802837,"TRUE",55.5981500331442,1.01831563888873
"walleye_pollock_adult",53,-4,4,27329.7930468108,-8289.85628539715,2251.28680667528,-108.307036961646,"TRUE",1.01831563888873,55.5981500331442
"walleye_pollock_juvenile",54,4,-4,35476.7156060695,-142.933726138384,90.1569000059165,-0.270638033496951,"TRUE",55.5981500331442,1.01831563888873
"large_sculpins",55,4,1.40790872381399,35617.9711630795,-1.67816912842682,32.8070288585035,8.50019834569094,"TRUE",55.5981500331442,5.08739858053489
"lingcod",56,-4,4,35615.954907492,-3.69442471589718,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"atka_mackerel",57,-4,-4,35606.7642996474,-12.8850325605163,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"shelf_demersal_fish",58,-4,-4,33648.6126258273,-1971.0367063806,36.1789923882199,1.3898686359106,"TRUE",1.01831563888873,1.01831563888873
"slope_demersal_fish",59,-4,4,35533.8005449378,-85.8487872701007,1894.60277099563,0.995402840496808,"TRUE",1.01831563888873,55.5981500331442
"miscellaneous_deep_sea_fish",60,-4,-4,35613.2287914384,-6.42054076951172,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"squid",61,-4,4,35399.8807836727,-219.768548535219,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"octopus",62,-4,-4,35455.0279896034,-164.621342604529,391.076887532607,-5.60831164418573,"TRUE",1.01831563888873,1.01831563888873
"tanner_crab",63,-4,-4,32226.4425536904,-3393.2067785175,174.041548856179,-24.2127044164269,"TRUE",1.01831563888873,1.01831563888873
"king_crab",64,4,1.7446054674037,35617.5437224407,-2.10560976725537,14.2716336301277,-2.70915022298662,"TRUE",55.5981500331442,6.72364286622285
"pandalid_shrimp",65,-4,-4,31104.843615662,-4514.80571654588,16.5796331440012,-1.63171594663095,"TRUE",1.01831563888873,1.01831563888873
"nonpandalid_shrimp",66,-4,4,35459.3178126913,-160.331519516607,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"motile_epifauna",67,-4,-4,35444.4528652834,-175.196466924477,181.580827715518,-2.33047301879935,"TRUE",1.01831563888873,1.01831563888873
"benthic_zooplankton",68,-4,4,32681.7608266627,-2937.8885055452,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"sessile_epifauna",69,-4,2.2292027998743,35611.244906315,-8.40442589291342,4.45361236930252,0.119123455881012,"TRUE",1.01831563888873,10.2924551794538
"infauna",70,-4,4,34547.7593878753,-1071.88994433261,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"gelatinous_carnivores",71,-4,4,35541.1917035249,-78.4576286830343,950.782726408775,-15.8446316090044,"TRUE",1.01831563888873,55.5981500331442
"other_gelatinous_zooplankton",72,-4,-4,35581.0636139415,-38.5857182664695,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"mysids",73,-4,-4,35180.736191817,-438.913140390876,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"pelagic_amphipods",74,-4,-4,35595.8766850463,-23.7726471616406,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"euphausiids",75,-4,4,35502.4056016347,-117.243730573195,2865.51714495059,-6.74368460670075,"TRUE",1.01831563888873,55.5981500331442
"large_copepods",76,4,4,35569.5285264077,-50.1208058002667,871.113799100951,-3.88180750670779,"TRUE",55.5981500331442,55.5981500331442
"small_copepods",77,-4,-4,35584.1131231079,-35.536209099977,1366.22898330699,-2.56867447644231,"TRUE",1.01831563888873,1.01831563888873
"large_microzooplankton",78,4,4,35389.5639525461,-230.085379661869,NA,NA,"TRUE",55.5981500331442,55.5981500331442
"small_microzooplankton",79,-4,-4,35617.5378707995,-2.11146140838537,NA,NA,"TRUE",1.01831563888873,1.01831563888873
"large_phytoplankton",80,-0.958698956212791,4,35574.7135873066,-44.9357449013478,NA,NA,"TRUE",1.38339137059042,55.5981500331442
"small_phytoplankton",81,-3.15129535968613,4,35619.2037727283,-0.445559479674557,NA,NA,"TRUE",1.04279665388592,55.5981500331442
"macroalgae",82,4,-4,35619.1830047881,-0.466327419839217,NA,NA,"TRUE",55.5981500331442,1.01831563888873
"benthic_microbes",83,4,4,35599.4261963813,-20.2231358266508,NA,NA,"TRUE",55.5981500331442,55.5981500331442
"discards",84,-4,0,35616.5082906419,-3.14104156598478,NA,NA,"TRUE",1.01831563888873,2
"offal",85,-4,0,33983.4515485256,-1636.19778368231,NA,NA,"TRUE",1.01831563888873,2
"detritus",86,-4,0,35538.7371446311,-80.9121875767814,NA,NA,"TRUE",1.01831563888873,2
