,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,DOL,3.97062302,1.00000000,0.015590000,0.015590000,,0.16000000,40.0000000,0.95285678,0.00400000,,
2,SBD,3.72732306,1.00000000,0.011930000,0.011930000,,0.25000000,33.0000000,0.93478543,0.00757576,,
3,TUR,3.60237408,1.00000000,0.012810000,0.012810000,,0.31000000,3.09999990,0.64948642,0.10000000,,
4,BKT,4.17081594,1.00000000,0.022000000,0.022000000,,0.44999999,2.00000000,0.95434731,0.22499999,,
5,DUS,4.18403387,1.00000000,0.011000000,0.011000000,,0.38499999,2.00000000,0.89092708,0.19250000,,
6,SNB,3.93772101,1.00000000,0.013800000,0.013800000,,0.28000000,2.59999990,0.92321461,0.10769230,,
7,LCS,4.16257095,1.00000000,0.016799999,0.016799999,,0.37000000,2.09999990,0.98961359,0.17619050,,
8,LOS,4.24614716,1.00000000,0.0060700001,0.0060700001,,0.27000001,1.79999995,0.99655432,0.15000001,,
9,ASN,3.82721496,1.00000000,0.038199998,0.038199998,,0.64999998,5.30000019,0.89549953,0.12264150,,
10,SCS,3.82518506,1.00000000,0.069200002,0.069200002,,0.82999998,5.00000000,0.97863191,0.16599999,,
11,YFT,4.16626501,1.00000000,0.010500000,0.010500000,,0.71499997,5.19999981,0.99613857,0.13750000,,
12,BFT,3.96946907,1.00000000,0.0097700004,0.0097700004,,0.94000000,3.40000010,0.99296582,0.27647060,,
13,TUN,4.12265301,1.00000000,0.014800000,0.014800000,,0.93000001,5.00000000,0.96087861,0.18600000,,
14,BIL,4.11008883,1.00000000,0.0052000000,0.0052000000,,0.38000000,3.50000000,0.99347103,0.10857140,,
15,SWO,4.15692520,1.00000000,0.019400001,0.019400001,,0.81000000,3.20000005,0.99121392,0.25312501,,
16,PCP,3.83527207,1.00000000,0.11200000,0.11200000,,1.79999995,6.00000000,0.99280560,0.30000001,,
17,AMB,3.92187691,1.00000000,0.051899999,0.051899999,,1.10000002,3.59999990,0.94128847,0.30555561,,
18,COB,4.01280499,1.00000000,0.041999999,0.041999999,,0.89999998,3.79999995,0.88028610,0.23684210,,
,"King Mackerel",,,,,,,,,,,
19,KM0,3.86940598,1.00000000,0.0011038100,0.0011038100,1.39999998,,12.1198301,0.43814659,0.11551320,0.0000551905,0.05000000
20,KM3,4.02933216,1.00000000,0.030700000,0.030699970,0.89999998,,3.50000310,0.89926392,0.25714269,0.0015350000,0.05000005
,"Spanish Mackerel",,,,,,,,,,,
21,SM0,3.84341097,1.00000000,0.011642320,0.011642320,2.00000000,,14.6693802,0.77935481,0.13633840,0.0008848163,0.07600000
22,SM3,3.95257711,1.00000000,0.099500000,0.099500038,1.20000005,,5.40000010,0.87959009,0.22222230,0.0075619998,0.07599997
23,RAY,3.43026996,1.00000000,0.13650000,0.13650000,,1.10000002,7.80000019,0.93664521,0.14102560,,
,"Gag Grouper",,,,,,,,,,,
24,GGR0,3.66281700,1.00000000,0.0031596660,0.0031596660,1.89999998,,19.4051094,0.20146739,0.09791236,0.0003159666,0.10000000
25,GGR1,3.88441610,1.00000000,0.033352122,0.033352129,1.00000000,,6.94297886,0.45889789,0.14403041,0.0033352119,0.09999997
26,GGR3,3.81118608,1.00000000,0.069700003,0.069699973,0.61000001,,3.20000291,0.51226538,0.19062480,0.0069700000,0.10000000
,"Red Grouper",,,,,,,,,,,
27,RGR0,3.67429495,1.00000000,0.0023141610,0.0023141610,1.79999995,,18.2403603,0.19438531,0.09868226,0.0001157080,0.04999997
28,RGR1,3.68577504,1.00000000,0.031025611,0.031025611,0.80000001,,6.55047894,0.51456368,0.12212850,0.0015512800,0.04999999
29,RGR3,3.70174408,1.00000000,0.10650000,0.10650000,0.50000000,,3.10000205,0.38601479,0.16129020,0.0053249998,0.05000002
,"Black Grouper",,,,,,,,,,,
30,BGR0,3.53031492,1.00000000,0.0023355440,0.0023355440,2.00000000,,17.0336704,0.21184100,0.11741450,0.0000700663,0.03000000
31,BGR1,3.92165995,1.00000000,0.026652889,0.026652889,0.89999998,,6.15052414,0.49413559,0.14632900,0.0007995866,0.02999999
32,BGR3,3.35240602,1.00000000,0.086681999,0.086682051,0.50000000,,2.89999795,0.12454970,0.17241390,0.0026004601,0.02999998
,"Yellowedge Grouper",,,,,,,,,,,
33,YEG0,3.76241708,1.00000000,0.0032278090,0.0032278090,3.00000000,,23.9810505,0.25416210,0.12509879,0.0000322781,0.01000000
34,YEG1,3.61645198,1.00000000,0.022966050,0.022966061,1.20000005,,7.97016001,0.61801690,0.15056160,0.0002296605,0.00999999
35,YEG3,3.39006996,1.00000000,0.088409998,0.088410087,0.50000000,,3.10000205,0.11065910,0.16129020,0.0008841000,0.00999999
36,GOL,3.86530590,1.00000000,0.0089844260,0.0089844260,,0.41800001,3.79999995,0.66549778,0.11000000,,
37,DWG,3.92421699,1.00000000,0.010910000,0.010910000,,0.60000002,4.00000000,0.40413541,0.15000001,,
38,SWG,3.75022697,1.00000000,0.017968969,0.017968969,,0.80000001,6.19999981,0.82055050,0.12903230,,
,"Red Snapper",,,,,,,,,,,
39,RSN0,3.80936098,1.00000000,0.0018885140,0.0018885140,1.70000005,,13.5000000,0.51449472,0.12592590,0.0001510811,0.07999999
40,RSN6,3.64985394,1.00000000,0.074500002,0.074500062,0.69999999,,3.47806191,0.60517848,0.20126151,0.0059600002,0.07999994
41,VSN,3.42869496,1.00000000,0.086900003,0.086900003,,1.20000005,11.5000000,0.69639772,0.10434780,,
42,MSN,3.46432209,1.00000000,0.077250630,0.077250630,,1.20000005,11.3000002,0.20596500,0.10619470,,
43,OSN,3.42582893,1.00000000,0.19750001,0.19750001,,1.79999995,11.8000002,0.38281101,0.15254240,,
44,CoP,3.58734202,1.00000000,0.075400002,0.075400002,,1.64999998,9.50000000,0.93253171,0.17368419,,
45,ST,3.34122705,1.00000000,0.24150001,0.24150001,,1.79999995,10.1999998,0.65634000,0.17647059,,
46,OcP,3.74170899,1.00000000,0.11750000,0.11750000,,1.34000003,6.19999981,0.99348259,0.21612900,,
47,BeP,3.70250702,1.00000000,0.13500001,0.13500001,,1.53999996,6.19999981,0.98104382,0.24838710,,
48,ReP,3.58141899,1.00000000,0.10880000,0.10880000,,1.32000005,7.00000000,0.63565773,0.18857139,,
49,ReIF,3.07374406,1.00000000,0.56500000,0.56500000,,2.79999995,12.5000000,0.57826817,0.22400001,,
50,DCIF,2.99643707,1.00000000,1.08500004,1.08500004,,3.00000000,14.1999998,0.54749018,0.21126761,,
51,RD,3.52850199,1.00000000,0.14000000,0.14000000,,1.60000002,8.50000000,0.26696241,0.18823530,,
52,BCIF,3.03837109,1.00000000,1.02550006,1.02550006,,3.09999990,15.6000004,0.40216321,0.19871791,,
53,TLF,3.47334194,1.00000000,0.085900001,0.085900001,,1.79999995,10.00000000,0.08926036,0.18000001,,
54,GTR,2.96618390,1.00000000,0.089199997,0.089199997,,2.00000000,15.1000004,0.10418030,0.13245030,,
55,CoO,2.90206003,1.00000000,0.34999999,0.34999999,,2.59999990,17.6000004,0.92284173,0.14772730,,
56,ReO,2.80385208,1.00000000,0.31999999,0.31999999,,2.70000005,22.2000008,0.95248908,0.12162160,,
57,SRF,3.11827898,1.00000000,0.22900000,0.22900000,,2.70000005,11.6999998,0.71613318,0.23076920,,
58,LOP,3.41473603,1.00000000,0.15400000,0.15400000,,0.60000002,11.0000000,0.22101641,0.05454546,,
59,OPL,3.43399310,1.00000000,0.31999999,0.31999999,,2.40000010,11.6999998,0.81684619,0.20512819,,
60,SHS,3.02106309,1.00000000,1.10000002,1.10000002,,2.65000010,12.1000004,0.64030552,0.21900830,,
61,MEN,2.52619004,1.00000000,1.07000005,1.07000005,,2.70000005,13.8999996,0.71499872,0.19424459,,
62,ASK,2.92805791,1.00000000,1.39800000,1.39800000,,3.50000000,15.8999996,0.40362689,0.22012579,,
63,MUL,2.45773292,1.00000000,0.55000001,0.55000001,,3.09999990,19.3999996,0.26504970,0.15979379,,
64,BUT,2.91946197,1.00000000,0.49500000,0.49500000,,3.50000000,12.5000000,0.09048315,0.28000000,,
65,CPH,3.30054688,1.00000000,1.38000000,1.38000000,,3.50000000,13.6999998,0.99616623,0.25547439,,
66,SHP,2.77005291,1.00000000,2.40000010,2.40000010,,3.79999995,19.2000008,0.91290289,0.19791670,,
67,CRB,3.14470005,1.00000000,2.22000003,2.22000003,,3.00000000,10.5000000,0.99493229,0.28571430,,
68,SEP,2.01232600,1.00000000,20.0000000,20.0000000,,5.00000000,17.0000000,0.54282397,0.29411769,,
69,MEP,2.37507296,1.00000000,15.0000000,15.0000000,,6.00000000,27.0000000,0.98863482,0.22222219,,
70,ZOO,2.21592212,1.00000000,13.0000000,13.0000000,,10.00000000,40.0000000,0.99948752,0.25000000,,
71,INF,2.04535794,1.00000000,18.5000000,18.5000000,,6.00000000,22.0000000,0.97515959,0.27272731,,
72,ALG,1.00000000,1.00000000,29.7999992,29.7999992,,27.5000000,,0.08342233,,,
73,SGR,1.00000000,1.00000000,150.000000,150.000000,,25.0000000,,0.01040472,,,
74,PHY,1.00000000,1.00000000,25.0000000,25.0000000,,160.000000,,0.20754290,,,
75,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,,0.06822944,,,
